Customer Group,กลุ่มลูกค้า
Category Permissions Section,ส่วนสิทธิ์หมวดหมู่
Category Permissions,สิทธิ์หมวดหมู่
Catalog Product Permissions,สิทธิ์ในรายการสินค้า
Catalog Category Permissions,หมวดหมู่สิทธิ์
Browsing Category,ประเภทการเรียกดู
All Websites,เว็บไซต์ทั้งหมด
Allow Browsing Category,อนุญาตหมวดหมู่การเรียกดู
Allow Adding to Cart,อนุญาตให้เพิ่มในรถเข็น
Allow,อนุญาต
All Customer Groups,กลุ่มลูกค้าทั้งหมด
Add to Cart,เพิ่มในตะกร้า
Action,การกระทำ
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">คำเตือน!</strong> คุณลักษณะนี้จำกัดเฉพาะทุกหมวด"
(Deny),(ปฏิเสธ)
(Allow),(อนุญาตให้)
You saved the rule.,คุณบันทึกข้อกำหนดแล้ว
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","คุณปิดใช้งานกฎราคา %1 ของราคาสินค้าตามแอตทริบิวต์  ""%2"""
You deleted the rule.,คุณได้ลบข้อกำหนดแล้ว
Yes,ใช่
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","เราพบกฎที่อัปเดตที่ไม่ได้ใช้ โปรดคลิก ""ใช้กฎ"" เพื่ออัปเดตแคตตาล็อกของคุณ"
We can't rebuild the index for an undefined product.,เราไม่สามารถสร้างดัชนีสำหรับผลิตภัณฑ์ที่ไม่ได้กำหนดไว้ได้
We can't find a rule to delete.,เราไม่พบกฎที่จะลบ
We can't delete this rule right now. Please review the log and try again.,เราไม่สามารถลบกฎนี้ได้ในขณะนี้ โปรดตรวจสอบบันทึกและลองอีกครั้ง
We can't apply the rules.,เราไม่สามารถใช้กฎได้
Websites,เว็บไซต์
Web Site,เว็บไซต์
Update the Product,อัพเดทสินค้า
Update product's %1 %2: %3,อัพเดตผลิตภัณฑ์ของ %1 %2: %3
Updated rules applied.,ใช้กฎที่อัปเดตแล้ว
Unknown action.,การกระทำที่ไม่รู้จัก
Unable to save rule %1,ไม่สามารถบันทึกกฎ%1 ได้
Unable to remove rule %1,ไม่สามารถลบกฎ %1
Type,ประเภท
To Percentage,เป็นเปอร์เซ็นต์
To Fixed Value,เพื่อกำหนดมูลค่า
To,ถึง
This rule no longer exists.,กฎนี้ไม่มีอยู่อีกต่อไป
Status,สถานะ
Start,เริ่ม
Something went wrong while saving the rule data. Please review the error log.,เกิดข้อผิดพลาดขณะบันทึกข้อมูลกฎ โปรดตรวจทานบันทึกข้อผิดพลาด
SKU,รหัสสินค้า
Save and Continue Edit,บันทึกและแก้ไขต่อ
Save and Apply,บันทึกและปรับใช้
Save,บันทึก
"Rule with specified ID ""%1"" not found.","ไม่พบกฎที่ระบุ ID ""%1"""
Rule price,ราคากฎ
Rule Name,ชื่อข้อกำหนด
Rule Information,ข้อมูลข้อกำหนด
Rule,กฎ
Reset,รีเซ็ต
Promotions,โปรโมชั่น
Promo,โปรโมชั่น
Product Attribute,คุณลักษณะสินค้า
Product,สินค้า
Priority,สิทธิพิเศษ
Percentage discount should be between 0 and 100.,เปอร์เซ็นต์ส่วนลดควรอยู่ระหว่าง 0 ถึง 100
No,ไม่
New Rule,ข้อกำหนดใหม่
New Catalog Price Rule,กฎราคาสินค้าใหม่
Indexed rule/product association,กฎ / การเชื่อมโยงผลิตภัณฑ์ที่ทำดัชนี
Indexed product/rule association,การจัดกลุ่มผลิตภัณฑ์ / กฎที่ทำดัชนี
Inactive,ไม่ทำงาน
ID,ID
From,จาก
End,สิ้นสุด
Edit Rule,แก้ไขกฏ
Discount value should be 0 or greater.,มูลค่าส่วนลดควรเป็น 0 หรือมากกว่า
Discount Amount,จำนวนส่วนลด
Discard subsequent rules,ยกเลิกกฎที่ตามมา
Description,รายละเอียด
Delete Rule,ลบกฏ
Customer Groups,กลุ่มลูกค้า
Could not rebuild index for empty products array,ไม่สามารถสร้างดัชนีสำหรับอาร์เรย์ผลิตภัณฑ์ว่างเปล่าได้
Conditions Combination,การรวมเงื่อนไข
Conditions (don't add conditions if rule is applied to all products),เงื่อนไข (ห้ามเพิ่มเงื่อนไขหากมีการใช้กฎกับผลิตภัณฑ์ทั้งหมด)
